Shape;Carat;Color;Clarity;Cut;Price
Emerald;0.30;F;SI1;Ideal;441
Emerald;0.30;I;VS1;Ideal;441
Emerald;0.30;D;SI1;Excellent;441
Pear;0.25;D;VS2;Ideal;441
Emerald;0.34;I;VS2;Ideal;441
Emerald;0.30;D;SI1;Ideal;441
Emerald;0.30;E;SI1;Excellent;441
Emerald;0.30;F;SI1;Ideal;441
Emerald;0.30;D;SI1;Ideal;441
Pear;0.30;F;SI1;Ideal;441
Emerald;0.30;H;SI1;Excellent;442
Emerald;0.30;E;SI1;Good;442
Pear;0.29;D;VS2;Ideal;442
Emerald;0.32;E;SI1;Ideal;442
Oval;0.30;E;SI2;Ideal;442
Pear;0.30;F;SI2;Excellent;442
Pear;0.31;E;SI2;Ideal;442
Emerald;0.32;E;SI1;Ideal;442
Emerald;0.30;G;SI1;Ideal;442
Princess;0.30;I;VS1;Ideal;442
Princess;0.31;G;SI1;Ideal;442
Emerald;0.35;K;IF;Ideal;442
Marquise;0.31;F;SI2;Ideal;442
Pear;0.30;F;SI2;Excellent;442
Emerald;0.34;I;SI1;Very Good;442
Emerald;0.30;E;SI1;Ideal;442
Emerald;0.30;F;SI1;Good;442
Emerald;0.30;I;VS1;Ideal;443
Emerald;0.30;G;SI1;Excellent;443
Heart;0.30;I;VS1;Ideal;443
Emerald;0.31;J;VVS1;Ideal;443
Emerald;0.32;G;SI1;Very Good;443
Heart;0.30;I;VS1;Ideal;443
Pear;0.30;E;SI2;Ideal;443
Heart;0.31;E;SI2;Ideal;443
Pear;0.30;F;SI2;Ideal;443
Pear;0.30;F;SI1;Excellent;443
Emerald;0.31;D;SI2;Ideal;443
Emerald;0.33;E;SI1;Excellent;443
Emerald;0.33;J;VVS2;Excellent;443
Emerald;0.35;G;SI1;Ideal;443
Emerald;0.30;E;SI1;Ideal;443
Emerald;0.30;F;SI1;Excellent;443
Emerald;0.30;D;SI2;Very Good;443
Heart;0.29;I;VS2;Excellent;443
Emerald;0.30;D;SI2;Ideal;443
Oval;0.30;H;SI1;Ideal;443
Marquise;0.41;K;SI2;Ideal;443
Pear;0.30;H;SI1;Ideal;443
Emerald;0.30;I;VS1;Ideal;443
Pear;0.30;I;VS2;Ideal;443
Pear;0.30;F;SI1;Ideal;443
Emerald;0.30;E;SI1;Excellent;443
Emerald;0.30;F;SI1;Very Good;443
Princess;0.34;F;SI2;Ideal;443
Heart;0.31;I;VS1;Ideal;444
Emerald;0.30;F;SI1;Very Good;444
Emerald;0.31;F;SI2;Ideal;444
Emerald;0.30;I;VS2;Ideal;444
Heart;0.30;G;SI1;Excellent;444
Pear;0.35;H;SI1;Ideal;444
Oval;0.30;I;VVS2;Excellent;444
Emerald;0.30;I;VS1;Ideal;444
Emerald;0.30;D;SI1;Excellent;444
Emerald;0.33;F;SI2;Excellent;444
Emerald;0.30;F;SI1;Ideal;444
Heart;0.30;G;SI1;Ideal;444
Emerald;0.32;F;SI1;Very Good;444
Emerald;0.30;E;SI1;Excellent;444
Heart;0.30;E;SI2;Ideal;444
Emerald;0.31;F;SI1;Excellent;444
Emerald;0.30;F;SI1;Ideal;444
Oval;0.31;K;VVS2;Excellent;445
Emerald;0.34;J;VVS2;Ideal;445
Emerald;0.31;K;VVS2;Ideal;445
Pear;0.30;H;SI1;Ideal;446
Emerald;0.30;E;SI1;Excellent;446
Emerald;0.32;D;SI2;Ideal;446
Emerald;0.31;E;SI1;Excellent;446
Emerald;0.30;E;SI1;Ideal;446
Emerald;0.33;E;SI1;Ideal;446
Heart;0.30;F;SI1;Ideal;446
Emerald;0.30;I;VS1;Ideal;446
Emerald;0.33;G;SI2;Ideal;446
Emerald;0.30;E;SI1;Excellent;446
Emerald;0.35;F;SI1;Ideal;446
Emerald;0.30;E;SI1;Excellent;446
Pear;0.29;D;SI1;Excellent;446
Heart;0.30;F;SI2;Ideal;446
Emerald;0.30;I;VS1;Excellent;446
Marquise;0.31;I;VS2;Ideal;446
Emerald;0.31;J;VVS2;Ideal;446
Emerald;0.35;J;VS2;Ideal;446
Emerald;0.30;D;SI1;Very Good;446
Emerald;0.30;F;SI1;Excellent;446
Emerald;0.30;F;SI1;Ideal;446
Marquise;0.32;I;VS2;Ideal;446
Oval;0.34;I;VS1;Excellent;446
Heart;0.32;I;VVS1;Ideal;446
Pear;0.40;J;SI1;Excellent;446
Emerald;0.30;E;SI1;Ideal;446
Oval;0.31;J;VVS2;Excellent;446
Emerald;0.32;I;VS1;Good;446
Emerald;0.33;D;SI2;Very Good;446
Emerald;0.30;E;SI1;Excellent;446
Oval;0.29;D;SI1;Ideal;446
Princess;0.35;F;SI2;Ideal;446
Heart;0.33;I;VS1;Ideal;446
Emerald;0.30;F;SI1;Ideal;446
Emerald;0.32;E;SI1;Very Good;447
Emerald;0.30;G;SI1;Ideal;447
Heart;0.30;E;SI1;Ideal;447
Oval;0.30;D;SI2;Excellent;447
Heart;0.30;E;SI1;Ideal;447
Emerald;0.32;I;VS2;Ideal;447
Pear;0.30;F;SI2;Ideal;447
Pear;0.33;I;VS1;Ideal;447
Emerald;0.30;F;SI1;Excellent;447
Heart;0.30;E;SI1;Excellent;447
Radiant;0.31;J;VVS1;Very Good;447
Pear;0.30;G;SI2;Ideal;447
Pear;0.31;H;SI1;Ideal;447
Marquise;0.36;J;VS1;Excellent;447
Pear;0.35;I;SI2;Ideal;447
Emerald;0.30;G;SI1;Excellent;448
Pear;0.29;G;VVS2;Very Good;448
Oval;0.32;G;SI1;Ideal;448
Emerald;0.30;G;SI1;Ideal;448
Emerald;0.30;D;SI2;Ideal;448
Pear;0.30;E;SI2;Ideal;448
Pear;0.30;F;SI2;Ideal;448
Emerald;0.30;E;SI2;Excellent;448
Emerald;0.32;F;SI2;Very Good;448
Emerald;0.30;F;SI1;Good;448
Emerald;0.31;F;SI1;Very Good;448
Pear;0.30;F;SI2;Excellent;448
Emerald;0.35;E;SI1;Ideal;448
Marquise;0.30;F;SI2;Ideal;448
Oval;0.30;I;VVS2;Excellent;448
Heart;0.30;G;SI1;Ideal;448
Heart;0.30;H;SI1;Excellent;448
Emerald;0.30;E;SI1;Excellent;448
Heart;0.30;E;SI1;Excellent;448
Emerald;0.33;I;SI1;Excellent;448
Emerald;0.31;J;VVS1;Ideal;448
Emerald;0.30;F;SI1;Excellent;448
Emerald;0.30;D;SI1;Excellent;448
